"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
5.178,0.0686,17.93,208.44,4.822,5.53,11.8,11.44,28.885,0.077,28.087
5.206,0.1036,9.54,169.36,4.667,5.75,11.9,12.48,13.976,0.099,
5.233,0.0761,8.70,212.29,4.834,5.63,12,12.46,15.422,0.089,
5.288,0.0933,17.21,90.17,4.795,5.78,12.2,10.86,33.474,0.083,14.43
5.241,0.0756,3.71,221.04,4.845,5.64,12,11.64,21.423,0.106,
5.202,0.1193,14.03,44.30,4.581,5.82,11.9,11.77,24.839,0.060,
5.216,0.1003,27.68,122.25,4.693,5.74,11.9,11.42,32.111,0.068,
5.209,0.1138,17.10,224.71,4.616,5.80,11.9,10.65,42.613,0.067,9.82
42.7,0.0307,1.48,119.33,41.388,44.01,279,7.00,,,4.7
39.66,0.2603,4.73,29.82,29.340,49.99,250,8.10,,,
43.53,0.1156,27.34,242.92,38.499,48.56,287,4.88,,,7.92
45.67,0.1016,12.02,56.01,41.030,50.31,309,4.64,,,
5.146,0.0740,9.96,36.21,4.765,5.53,11.7,10.94,31.668,0.092,56.7
5.194,0.0505,40.43,103.64,4.931,5.46,11.8,11.06,37.972,0.053,14.5469
5.114,0.0590,7.13,338.46,4.813,5.42,11.6,11.37,24.996,0.103,40.43
42.76,0.0578,17.20,264.38,40.290,45.23,280,3.79,900,0.07,6.3436
39.61,0.1496,19.52,143.99,33.688,45.54,249,7.75,,,
5.19,0.0108,9.35,154.28,5.134,5.25,11.8,11.57,27.467,0.071,
48.17,0.4004,12.40,310.32,28.880,67.46,334,7.50,,,
5.208,0.1307,25.63,4.87,4.527,5.89,11.9,10.68,45.804,0.058,
5.199,0.1470,21.05,6.22,4.434,5.96,11.9,11.05,27.176,0.095,14.813
23.86,0.9012,160.43,102.92,2.356,45.36,117,13.80,,,
5.23,0.1294,26.87,271.97,4.553,5.91,12,11.50,26.367,0.077,
