"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
,2.425,59600,2.386,0.6058,23.73,9.82,145.08,12.73,16.75,
0.811,2.5193,59600,1.105,0.0758,24.10,290.36,37.02,186.79,17.66,0.223
,11.8819,59600,44.07,0.1132,2.67,68.56,16.02,287.58,6.54,
,3.4807,59600,2.209,0.4276,8.95,171.77,150.97,97.22,18.89,
,3.4882,59600,2.043,0.5179,12.71,199.16,348.18,260.20,18.56,
0.472,4,59600,1.164,0.4930,3.13,9.27,281.57,31.54,22.10,0.01
,2.5702,59600,2.222,0.5932,8.13,107.62,139.36,40.60,18.12,
,3.337,59600,3.221,0.6547,8.15,126.22,63.73,328.34,17.49,
,2.25,59600,1.858,0.4960,30.56,54.30,216.75,58.12,18.80,
,,59600,41.93,0.2125,2.62,304.96,180.60,9.69,7.78,
,,59600,47.97,0.2519,3.39,169.34,54.51,12.61,6.36,
,,59600,44.77,0.0697,2.41,104.64,324.03,286.93,5.87,
,,59600,43.34,0.0304,1.49,76.63,200.79,334.67,6.44,
,9.65,59600,43.74,0.0849,2.87,118.09,78.22,341.25,6.18,
,19.49,59600,38.96,0.1774,15.73,238.72,282.47,69.66,5.29,
,2.603,59600,1.839,0.5167,29.52,73.72,120.13,328.97,19.66,
,2.7365,59600,2.347,0.7340,4.31,96.13,249.41,208.37,19.10,
